file,column
ENA_deposited_isolates_80.csv,run_accession
ENA_deposited_isolates_80.csv,experiment_accession
ENA_deposited_isolates_80.csv,isolate_id
Figure_4A_ST335_curated_target_mapping.csv,target
Figure_4A_ST335_curated_target_mapping.csv,selected_gene
Kenneth_recorded_biocide_results_42.csv,isolate_id
Kenneth_recorded_biocide_results_42.csv,group
Kenneth_recorded_biocide_results_42.csv,Ethanol
Kenneth_recorded_biocide_results_42.csv,Sodium dichloroisocyanurate
Kenneth_recorded_biocide_results_42.csv,Glutaraldehyde
Kenneth_recorded_biocide_results_42.csv,Sodium hypochlorite
Kenneth_recorded_biocide_results_42.csv,Hydrogen peroxide
Malawi_matrix_cell_reconciliation.csv,row_isolate
Malawi_matrix_cell_reconciliation.csv,column_isolate
Malawi_matrix_cell_reconciliation.csv,legacy_value
Malawi_matrix_cell_reconciliation.csv,validated_matrix_value
Malawi_timeline_74_month_resolution.csv,isolate_id
Malawi_timeline_74_month_resolution.csv,source
Malawi_timeline_74_month_resolution.csv,collection_month
Malawi_timeline_74_month_resolution.csv,SNP_distance_to_reference
Malawi_timeline_74_month_resolution.csv,reference_isolate
ST335_224_matrix_isolate_index.csv,isolate_id
ST335_224_matrix_isolate_index.csv,source_isolate_id
ST335_224_matrix_isolate_index.csv,run_accession
ST335_224_matrix_isolate_index.csv,sample_accession
ST335_224_matrix_isolate_index.csv,country
ST335_224_matrix_isolate_index.csv,source_type
ST335_224_matrix_isolate_index.csv,source_detail
ST335_224_matrix_isolate_index.csv,invasive
ST335_224_matrix_isolate_index.csv,year
ST335_224_matrix_isolate_index.csv,lineage
ST335_224_matrix_isolate_index.csv,sequence_type
ST335_224_matrix_isolate_index.csv,clonal_complex
ST335_224_matrix_isolate_index.csv,source_group
ST335_224_matrix_isolate_index.csv,in_CC25_tree
ST335_224_matrix_isolate_index.csv,in_ST335_tree
ST335_224_matrix_isolate_index.csv,CC25_order
ST335_224_matrix_isolate_index.csv,ST335_order
ST335_224_matrix_isolate_index.csv,experiment_accession
ST335_224_matrix_isolate_index.csv,accession_basis
ST335_224_matrix_isolate_index.csv,XDR_genomic_profile
ST335_224_matrix_isolate_index.csv,MDR_genomic_profile
ST335_224_matrix_isolate_index.csv,CARB_R_genomic_marker
ST335_224_matrix_isolate_index.csv,MAC_R_genomic_marker
ST335_224_matrix_isolate_index.csv,genomic_determinants
ST335_224_matrix_isolate_index.csv,AMRFinder_class_count
ST335_224_matrix_isolate_index.csv,filtered_determinant_count
ST335_224_matrix_isolate_index.csv,phenotyped_Kenneth
ST335_224_matrix_isolate_index.csv,XDR_phenotype
ST335_224_matrix_isolate_index.csv,CC25_panel
ST335_224_matrix_isolate_index.csv,ST335_panel
ST335_224_matrix_isolate_index.csv,plot_label
ST335_224_matrix_isolate_index.csv,matrix_position
ST335_tree_order.csv,isolate_id
ST335_tree_order.csv,run_accession
ST335_tree_order.csv,sample_accession
ST335_tree_order.csv,lineage
ST335_tree_order.csv,sequence_type
ST335_tree_order.csv,country
ST335_tree_order.csv,source_group
Supplement_CC25_display_annotations.csv,isolate_id
Supplement_CC25_display_annotations.csv,ST
Supplement_CC25_display_annotations.csv,Lineage
Supplement_CC25_display_annotations.csv,Country
Supplement_CC25_display_annotations.csv,Source
Supplement_CC25_display_annotations.csv,Year
Supplement_CC25_display_annotations.csv,AMR subclass count
Supplement_CC25_fixed_branch_coordinates.csv,x0
Supplement_CC25_fixed_branch_coordinates.csv,x1
Supplement_CC25_fixed_branch_coordinates.csv,r0
Supplement_CC25_fixed_branch_coordinates.csv,r1
Supplement_CC25_tip_order.csv,display_order
Supplement_CC25_tip_order.csv,isolate_id
Supplement_ST335_labelled_determinant_states.csv,isolate_id
Supplement_ST335_labelled_determinant_states.csv,gene
Supplement_ST335_labelled_determinant_states.csv,present
additional_Malawi_month_metadata_74.csv,isolate_id
additional_Malawi_month_metadata_74.csv,source_class_as_recorded
additional_Malawi_month_metadata_74.csv,collection_month
additional_Malawi_month_metadata_74.csv,source_file
additional_archive_metadata_274.csv,isolate_id
additional_archive_metadata_274.csv,run_accession
additional_archive_metadata_274.csv,sample_accession
additional_archive_metadata_274.csv,archive_alias
additional_archive_metadata_274.csv,country
additional_archive_metadata_274.csv,region
additional_archive_metadata_274.csv,year
additional_archive_metadata_274.csv,sequence_type
additional_archive_metadata_274.csv,source_type
additional_archive_metadata_274.csv,source_detail
additional_genomic_determinants_345.csv,isolate_id
additional_genomic_determinants_345.csv,blaLAP-2
additional_genomic_determinants_345.csv,blaSCO-1
additional_genomic_determinants_345.csv,blaTEM-1
additional_genomic_determinants_345.csv,blaOXA-1
additional_genomic_determinants_345.csv,blaOXA-10
additional_genomic_determinants_345.csv,catA1
additional_genomic_determinants_345.csv,cmlA5
additional_genomic_determinants_345.csv,floR
additional_genomic_determinants_345.csv,dfrA1
additional_genomic_determinants_345.csv,dfrA12
additional_genomic_determinants_345.csv,dfrA14
additional_genomic_determinants_345.csv,dfrA15
additional_genomic_determinants_345.csv,dfrA17
additional_genomic_determinants_345.csv,dfrA23
additional_genomic_determinants_345.csv,blaCTX-M-15
additional_genomic_determinants_345.csv,blaCTX-M-2
additional_genomic_determinants_345.csv,blaSHV-5
additional_genomic_determinants_345.csv,blaTEM-131
additional_genomic_determinants_345.csv,blaTEM-63
additional_genomic_determinants_345.csv,qnrB
additional_genomic_determinants_345.csv,qnrB1
additional_genomic_determinants_345.csv,qnrB19
additional_genomic_determinants_345.csv,qnrS1
additional_genomic_determinants_345.csv,gyrA_D87N
additional_genomic_determinants_345.csv,gyrA_S83F
additional_genomic_determinants_345.csv,gyrB_S464F
additional_genomic_determinants_345.csv,mph(A)
additional_genomic_determinants_345.csv,mph(E)
additional_genomic_determinants_345.csv,msr(E)
additional_genomic_determinants_345.csv,tet(A)
additional_genomic_determinants_345.csv,sul1
additional_genomic_determinants_345.csv,sul2
additional_genomic_determinants_345.csv,sul3
additional_genomic_determinants_345.csv,aac(3)-II
additional_genomic_determinants_345.csv,aac(3)-IId
additional_genomic_determinants_345.csv,aac(3)-IIe
additional_genomic_determinants_345.csv,aac(3)-VIa
additional_genomic_determinants_345.csv,aac(6')-Ib
additional_genomic_determinants_345.csv,aac(6')-Ib-cr
additional_genomic_determinants_345.csv,aac(6')-Ib-cr5
additional_genomic_determinants_345.csv,aadA1
additional_genomic_determinants_345.csv,aadA2
additional_genomic_determinants_345.csv,aadA5
additional_genomic_determinants_345.csv,aph(3'')-Ib
additional_genomic_determinants_345.csv,aph(3')-Ia
additional_genomic_determinants_345.csv,aph(6)-Id
additional_genomic_determinants_345.csv,armA
additional_genomic_determinants_345.csv,blaOXA-48
additional_genomic_determinants_345.csv,blaNDM-1
additional_genomic_determinants_345.csv,arr-2
additional_genomic_determinants_345.csv,arr-3
additional_genomic_determinants_345.csv,qacE
additional_genomic_determinants_345.csv,qacEdelta1
additional_genomic_determinants_345.csv,ramR_T18P
additional_genomic_determinants_345.csv,ble
additional_hospital_metadata.csv,isolate_id
additional_hospital_metadata.csv,source_alias
additional_hospital_metadata.csv,hospital
additional_hospital_metadata.csv,country
additional_hospital_metadata.csv,region
additional_hospital_metadata.csv,year
additional_hospital_metadata.csv,run_accession
additional_hospital_metadata.csv,sample_accession
additional_hospital_metadata.csv,in_final_345
additional_hospital_metadata.csv,source_basis
antibiotic_dictionary_17.csv,code
antibiotic_dictionary_17.csv,antibiotic
antibiotic_dictionary_17.csv,disc_content_ug
antibiotic_dictionary_17.csv,category
disinfectant_MIC_MBC_original.csv,isolate
disinfectant_MIC_MBC_original.csv,MIC_bleach_percent
disinfectant_MIC_MBC_original.csv,MIC_chlorine_ug_mL
disinfectant_MIC_MBC_original.csv,MIC_chlorhexidine_percent
disinfectant_MIC_MBC_original.csv,MBC_bleach_percent
disinfectant_MIC_MBC_original.csv,MBC_chlorine_ug_mL
disinfectant_MIC_MBC_original.csv,MBC_chlorhexidine_percent
genomic_category_flags_345.csv,isolate_id
genomic_category_flags_345.csv,Penicillin
genomic_category_flags_345.csv,Chloramphenicol
genomic_category_flags_345.csv,Trimethoprim
genomic_category_flags_345.csv,Sulfonamide
genomic_category_flags_345.csv,Fluoroquinolone
genomic_category_flags_345.csv,Third-generation cephalosporin
genomic_category_flags_345.csv,Carbapenem
genomic_category_flags_345.csv,Macrolide
genomic_category_marker_dictionary.csv,category
genomic_category_marker_dictionary.csv,markers
genomic_determinants_345.csv,isolate_id
genomic_determinants_345.csv,blaLAP-2
genomic_determinants_345.csv,blaSCO-1
genomic_determinants_345.csv,blaTEM-1
genomic_determinants_345.csv,blaOXA-1
genomic_determinants_345.csv,blaOXA-10
