isolate_id,run_accession,sample_accession,archive_alias,country,region,year,sequence_type,source_type,source_detail
ERR12067314,ERR12067314,ERS16390336,YA00440638,South Africa,Gauteng,2023,335,Human,Blood culture
ERR12067334,ERR12067334,ERS16390356,YA00420676,South Africa,Limpopo,2022,335,Human,Stool
ERR12067371,ERR12067371,ERS16390441,YA00440498,South Africa,Mpumalanga,2023,335,Human,Urine
ERR12078572,ERR12078572,ERS16427368,YA00469326,South Africa,Mpumalanga,2023,335,Human,Stool
ERR12078573,ERR12078573,ERS16427369,YA00469198,South Africa,Eastern Cape,2023,335,Human,Urine
ERR12080226,ERR12080226,ERS16430401,YA00470334,South Africa,Gauteng,2023,335,Human,Blood culture
ERR12091513,ERR12091513,ERS16451565,YA00471997,South Africa,Eastern Cape,2023,335,Human,Blood culture
ERR12142619,ERR12142619,ERS16508086,YA00483896,South Africa,Mpumalanga,2023,335,Human,Stool
ERR12142634,ERR12142634,ERS16508101,YA00473556,South Africa,Gauteng,2023,335,Human,Blood culture
ERR12146144,ERR12146144,ERS16512534,YA00471616,South Africa,Eastern Cape,2023,335,Human,Stool
ERR12165616,ERR12165616,ERS16536124,YA00449050,South Africa,Eastern Cape,2023,335,Human,Stool
ERR12259395,ERR12259395,ERS16917052,YA00474816,South Africa,Eastern Cape,2023,335,Human,Stool
ERR12302226,ERR12302226,ERS17016853,YA00476807,South Africa,Limpopo,2023,335,Human,Blood culture
ERR12312688,ERR12312688,ERS17080491,YA00484011,South Africa,Eastern Cape,2023,335,Human,Stool
ERR12312689,ERR12312689,ERS17080492,YA00484094,South Africa,Eastern Cape,2023,335,Human,Stool
ERR12312692,ERR12312692,ERS17080495,YA00484005,South Africa,Eastern Cape,2023,335,Human,Blood culture
ERR12321280,ERR12321280,ERS17171914,YA00483193,South Africa,Limpopo,2023,335,Human,Stool
ERR12321281,ERR12321281,ERS17171915,YA00483121,South Africa,Gauteng,2023,335,Human,Blood culture
ERR12321282,ERR12321282,ERS17171916,YA00475239,South Africa,Gauteng,2023,335,Human,Stool
ERR12321283,ERR12321283,ERS17171917,YA00475241,South Africa,Gauteng,2023,335,Human,Stool
ERR12321284,ERR12321284,ERS17171918,YA00475313,South Africa,Eastern Cape,2023,335,Human,Stool
ERR12495482,ERR12495482,ERS17748274,YA00487041,South Africa,Mpumalanga,2023,335,Human,Stool
ERR12495485,ERR12495485,ERS17748277,YA00486919,South Africa,Eastern Cape,2023,335,Human,Other
ERR12552377,ERR12552377,ERS18038298,YA00492344,South Africa,Eastern Cape,2023,335,Human,Blood culture
ERR12552381,ERR12552381,ERS18038303,YA00493062,South Africa,Eastern Cape,2023,335,Human,Stool
ERR12552384,ERR12552384,ERS18038306,YA00492459,South Africa,Limpopo,2023,335,Human,Urine
ERR160996,ERR160996,ERS106247,04-1206,,,NA,216,,
ERR3581536,ERR3581536,ERS3859332,19-SA01166-0,Germany,,2019,216,ND/Others,environment
ERR3635266,ERR3635266,ERS3943481,5dbbfadd225a4b9cbfb98368:sample:FD01846311,,,2002,216,,
ERR3635287,ERR3635287,ERS3943502,5dbbfadd225a4b9cbfb98368:sample:FD01846333,,,2007,216,,
ERR4145345,ERR4145345,ERS4396958,5,Nigeria,,2018,216,Poultry,Gallus gallus; Sokoto
ERR4145353,ERR4145353,ERS4396966,13,Nigeria,,2018,216,Poultry,Gallus gallus; Sokoto
ERR4145363,ERR4145363,ERS4396976,23,Nigeria,,2018,216,Poultry,Gallus gallus; Sokoto
ERR4145388,ERR4145388,ERS4397004,51,Nigeria,,2018,216,Poultry,Gallus gallus; Zamfara
ERR4145392,ERR4145392,ERS4397008,55,Nigeria,,2018,216,Poultry,Gallus gallus; Zamfara
ERR4145410,ERR4145410,ERS4397023,70,Nigeria,,2018,216,Poultry,Gallus gallus; Zamfara
ERR4338560,ERR4338560,ERS3475259,NL05.198,Taiwan,,2005,216,Human,
ERR4338896,ERR4338896,ERS3475552,C04.2549,Taiwan,,2004,216,Human,
ERR4399344,ERR4399344,ERS4873383,1090601333,Netherlands,,2006,216,Human,
ERR4399358,ERR4399358,ERS4873397,H1284,South Africa,,2001,335,,
ERR4399362,ERR4399362,ERS4873401,H1296,South Africa,,2001,335,,
ERR4399363,ERR4399363,ERS4873402,H1259,South Africa,,2001,216,,
ERR4399957,ERR4399957,ERS4873996,2517,Uganda,,2001,335,,
ERR4400265,ERR4400265,ERS4874304,H1295,South Africa,,2001,216,,
ERR4400834,ERR4400834,ERS4874873,CG07.304,Taiwan,,2007,216,Human,
ERR4400884,ERR4400884,ERS4874923,H1274,South Africa,,2001,216,,
ERR4401297,ERR4401297,ERS4875336,H2432,South Africa,,2001,216,,
ERR4401298,ERR4401298,ERS4875337,H2342,South Africa,,2001,216,,
ERR4401299,ERR4401299,ERS4875338,2348,South Africa,,2001,216,,
ERR4401589,ERR4401589,ERS4875628,MC_05-0323,Ireland,,2005,1994,Human,"Human, Faeces"
ERR4401598,ERR4401598,ERS4875637,1261,South Africa,,2001,216,,
ERR4451427,ERR4451427,ERS4936998,YA00208923,South Africa,Gauteng,2020,335,Human,"Human, Other"
ERR4451478,ERR4451478,ERS4937049,YA00207952,South Africa,Limpopo,2020,335,Human,"Human, Stool"
