path,source,source_sha256,role,change,archive_sha256
workflow/21_build_hybrid_plasmid_assembly.sh,21_build_hybrid_plasmid_assembly.sh,704b877fe620e95a3eada6da59da970fd057ac49b6d04129b0e6e9d207a95a2d,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,f5c515d48f307b105a6df72277ef89d042f81dea74dc86fcfada7c221502d1c1
workflow/10_build_alignments.sh,10_build_alignments.sh,b6001315abc1a6e2f5e7c520162c9f9467d86a94e57a18f6d9c3a2d188c2098d,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,b6001315abc1a6e2f5e7c520162c9f9467d86a94e57a18f6d9c3a2d188c2098d
workflow/02_trim_bbduk.sh,02_trim_bbduk.sh,e12228820e148ea06bc96d7ce7d3efd5f2c5c3094ad5d1ec01e0201c525d66c8,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,e12228820e148ea06bc96d7ce7d3efd5f2c5c3094ad5d1ec01e0201c525d66c8
workflow/13_raxmlng.sh,13_raxmlng.sh,34abc1b4b8c8b353e8df3d02b42c316e8047d8a7e9bd13e6fb1d757c6006a1b8,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,34abc1b4b8c8b353e8df3d02b42c316e8047d8a7e9bd13e6fb1d757c6006a1b8
workflow/07_build_reference.sh,07_build_reference.sh,c8fe145901ac58d275971ebe1b35a57528aebff4fffb6345df404dba9226d93b,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,51ae85c21824a12ea3e19071a10ca29aedcfb9f9e5fc0707eaff16d25b3ff893
workflow/05_type_sistr_mlst.sh,05_type_sistr_mlst.sh,d54d1299e46373b51697e60e0359a4975176f61c6ccdca8d6542a0d201a63b34,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,d54d1299e46373b51697e60e0359a4975176f61c6ccdca8d6542a0d201a63b34
workflow/lib/summarise_quast.py,summarise_quast.py,a53d43ceae89aa45afb8fa04132ab8e91989b325d3acb46c748eb0546be66521,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,b66d561aa7dce2296655a9858eb3197915158014fe470a7a272cb3f093c441cd
workflow/lib/validate_assignments.py,validate_assignments.py,01df802f5241f258d34a5b9fb6393c435b9f6e6b954c5e331f222f1be864f25c,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,299673e6c719bbde6dc3da1023e09eaa2e40aa674514a025e0a886fd9917a015
workflow/lib/fasta_tools.py,fasta_tools.py,192e1d012aea00023ef12136cca07c07e5ad079f73e2f1c9580fae3fc4979203,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,51b4ce9048ef7e8d10c0a05fbab7d2e4068a44a9cf4af81b2e5ad2298ede9ea4
workflow/lib/merge_reports.py,merge_reports.py,6a77470b47bc289759b9fef60baca3d6f485c0dd5814e2950b799cdafd74c163,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,53c8fff8df632a5ea82dd881fd288107dac999225505374505c3be305fbac8e3
workflow/lib/common.sh,common.sh,25963947667b4ffdcf3b3dcf3c70d43da67206f6c18788385c57cea8409908d5,Staged genomic reanalysis wrapper,Comments shortened; repository-relative root; run messages edited. Analytical arguments retained.,d2ff78ac470db8ee2785a1302c4d1cdfaafee9d0f0d12199d7ffa00491c2d832
environment/phenix_reference_headers.txt,phenix_reference_headers.txt,1cf9f2f3c48fbd84e3d4cbe82d0a28f6946e7c3893c5af8e625dd90bb8e19244,Recorded upstream software/headers,Verbatim,1cf9f2f3c48fbd84e3d4cbe82d0a28f6946e7c3893c5af8e625dd90bb8e19244
provenance/R/01_metadata.R,01_metadata(2).qmd,863cdacf7b830ade961061a0693bcbab3e5370a5cbe128665bcd3e5f5479979c,Original R analysis,R chunks extracted; comments moved out of code. Not called by release renderer.,36b879b1dbb1baeb2e7196eef1bafad07497f9c3bc6c6f802bfb7cb98bac0ff7
provenance/R/02_blood_culture.R,02_BSI epi at QECH 2015 to 2025(2).qmd,20218fcc36166ce59d0c8759d4849c13d1f29176fab30fae7ce3f4229e506410,Original R analysis,R chunks extracted; comments moved out of code. Not called by release renderer.,19a3d7575cc9922a7b6c279096dc6ecbad459609d17a7f59c86fc95b671de4e9
provenance/R/03_malawi_timeline.R,02_Figure_1_B(2).qmd,ee2f19f15accc09df3bf588da0506369655826e2b3bf34d6bbd76ce0c0c2eea9,Original R analysis,R chunks extracted; comments moved out of code. Not called by release renderer.,f9e67f1d7c4e4cc515bde8a1238e5193b1eb30cee526c17050013df52f06a30b
provenance/R/04_st335.R,04_ebg_335_tree(2).qmd,f4c8f9c8600fb7537c180d321798d0f43412bf2648e3083392b5ff19291e49e1,Original R analysis,R chunks extracted; comments moved out of code. Not called by release renderer.,21f00ee0de749eab7bfee11a5dcc8159eb7a0f24471e680633ff7c6e73f1ae6f
provenance/R/05_phil_amr_comparison.R,plot_all_salm_amr_genes.R,601298e4630fda061b7b9d57ba2fd96898f2f98470853a4c24c209f9a001a0d8,Original comparator plotting code,Verbatim,601298e4630fda061b7b9d57ba2fd96898f2f98470853a4c24c209f9a001a0d8
scripts/lib/figures.R,build_isangi_figures.R,ea7e67db2a6e7f54ba3a6e077c838a34656203408351461cc0b88c59fb8cdf2e,Native-R plotting functions,Explanatory comments and automatic CLI invocation removed; algorithms retained.,a019afd4695df93adc7c82b63b2a0ef06c9c786e26e7eacd52db2c80a96af878
data/data_clean/CC25_exact_tip_metadata.csv,CC25_exact_tip_metadata.csv,018b6a7bf3a603b5c66e36a4da53982a372a920a7b9a0b534d9d3d5d0dfc6596,Figure source coordinates/annotations,Restricted to the fields consumed by the circular-tree renderer,c16039318632d0c8a021600353c28ba0639ce142b92cc96bfb813a11ff59747b
data/data_clean/Supplement_CC25_fixed_branch_coordinates.csv,Supplement_CC25_fixed_branch_coordinates.csv,80dfaa566e63456dc61011264c8372cb23993e9f4755195f1f5b4f9d9f082536,Figure source coordinates/annotations,Verbatim,80dfaa566e63456dc61011264c8372cb23993e9f4755195f1f5b4f9d9f082536
data/data_clean/Supplement_CC25_tip_order.csv,Supplement_CC25_tip_order.csv,d4dc150d13d653a841a8e7fc8b4803f8e125ff29d33ca63a6e78b50b539e0408,Figure source coordinates/annotations,Verbatim,d4dc150d13d653a841a8e7fc8b4803f8e125ff29d33ca63a6e78b50b539e0408
data/data_clean/Supplement_CC25_display_annotations.csv,Supplement_CC25_display_annotations.csv,eda4970f4ec8726ed23be11c5b4466e5a50a291dbf844250398247cabab4172b,Figure source coordinates/annotations,Verbatim,eda4970f4ec8726ed23be11c5b4466e5a50a291dbf844250398247cabab4172b
data/data_clean/Figure_4A_ST335_curated_target_mapping.csv,Figure_4A_ST335_curated_target_mapping.csv,e884c9305b585af24c5bc5c8a164da14f161365ffa1359ab85016d32ba0479bd,Figure source coordinates/annotations,Verbatim,e884c9305b585af24c5bc5c8a164da14f161365ffa1359ab85016d32ba0479bd
data/data_clean/Supplement_ST335_labelled_determinant_states.csv,Supplement_ST335_labelled_determinant_states.csv,9b5ae920406a3816160728a4e1c6e9d114512ed30224d013e7ddcb63105a5b2a,Figure source coordinates/annotations,Verbatim,9b5ae920406a3816160728a4e1c6e9d114512ed30224d013e7ddcb63105a5b2a
results/reference/Figure_3A_CC25.tiff,Figure_3A_CC25.tiff,d1f7d2316e2c5b4e9adbf112cebcf8103b68b26b71b4724f07906f53511dc135,Archived circular phylogeny artwork,Verbatim,d1f7d2316e2c5b4e9adbf112cebcf8103b68b26b71b4724f07906f53511dc135
results/reference/Figure_3B_AMR_gene_burden_600dpi.tiff,Figure_3B_AMR_gene_burden_600dpi.tiff,eefe1418608d0967997cfc8a2089c7e45230dc581eea06e47aa9b42426d094dc,Approved Figure 3B artwork,Verbatim,eefe1418608d0967997cfc8a2089c7e45230dc581eea06e47aa9b42426d094dc
data/artwork/Figure_S3_biofilm_quantification.png,Figure_S3_biofilm_quantification.png,139d4c921ec6403791f9f08115819fac55316e7cb58182d6163f183be5909862,Original experimental/plasmid/map artwork,Verbatim,139d4c921ec6403791f9f08115819fac55316e7cb58182d6163f183be5909862
data/artwork/Figure_5_plasmid_comparison.png,Figure_5_plasmid_comparison.png,5d4a3b43b3c7d6293937f61a432bc1265c2df045313c17b4b48c191a91b8ac56,Original experimental/plasmid/map artwork,Verbatim,5d4a3b43b3c7d6293937f61a432bc1265c2df045313c17b4b48c191a91b8ac56
data/artwork/Figure_S1_plasmid_network.png,Figure_S1_plasmid_network.png,74f67420fc88f5c4076b1b5302dfd9ea2e63bc3b158238a6ba0d42c89599779e,Original experimental/plasmid/map artwork,Verbatim,74f67420fc88f5c4076b1b5302dfd9ea2e63bc3b158238a6ba0d42c89599779e
data/artwork/Figure_1D_Blantyre_map.png,Figure_1D_Blantyre_map.png,1a0140e2b0a8ec8f7d01fc10bdef7bef15ba052dc2c606d5bf6f0f2f08a942fd,Original experimental/plasmid/map artwork,Verbatim,1a0140e2b0a8ec8f7d01fc10bdef7bef15ba052dc2c606d5bf6f0f2f08a942fd
data/artwork/Figure_S2_confocal_biofilms.png,Figure_S2_confocal_biofilms.png,a5275eab24af5d91c1197ad24cc632cc6cdc62300c1f33786f8f4c21bc59ccc9,Original experimental/plasmid/map artwork,Verbatim,a5275eab24af5d91c1197ad24cc632cc6cdc62300c1f33786f8f4c21bc59ccc9
data/artwork/Figure_S4_mouse_survival.png,Figure_S4_mouse_survival.png,9a72b572258cc6228ddb67e29d5fb59a82854232a2adb3c9f0d2d3ad50b72b68,Original experimental/plasmid/map artwork,Verbatim,9a72b572258cc6228ddb67e29d5fb59a82854232a2adb3c9f0d2d3ad50b72b68
data/geography/ERST_summary.csv,ERST_summary.csv,cc37bdbbb2855b4e7ed5d1fa1bc81ca76f0b5ec5a362cd0e5b2374d2d0437c2d,Environmental sampling coordinates,"Restricted to longitude, latitude and reported WGS serovar where present",7a7074b4a64f58461cc95585edbdaf9b5e5a3fe018f95d5f55d255ef9e70c9e1
data/geography/isangi_metadata.csv,isangi_metadata.csv,b4ef52c4f3fa089de9e611ffd6dbbe999ad6a5446afddfb45aec1389fc1a0dc1,Environmental sampling coordinates,"Restricted to longitude, latitude and reported WGS serovar where present",c0ece0f8929a9c1b983bcc5c00836010f3ca74c3ef4675d407abf017e7f9ae52
