sample_accession	run_accession	evidence_status
	SRR21787324	notebook_derived_assembled
	ERR12067314	notebook_derived_assembled
	ERR10109277	notebook_derived_assembled
	SRR7130370	notebook_derived_assembled
	ERR9966389	notebook_derived_assembled
	SRR16227977	notebook_derived_assembled
	SRR3137069	notebook_derived_assembled
	SRR2917138	notebook_derived_assembled
	ERR10176866	notebook_derived_assembled
	SRR3001933	notebook_derived_assembled
	ERR12067334	notebook_derived_assembled
	SRR27185117	notebook_derived_assembled
	ERR10460483	notebook_derived_assembled
	ERR10880424	notebook_derived_assembled
	ERR9785510	notebook_derived_assembled
	SRR952929	notebook_derived_assembled
	ERR9966390	notebook_derived_assembled
	SRR8706049	notebook_derived_assembled
	ERR9966387	notebook_derived_assembled
	ERR9785511	notebook_derived_assembled
	SRR15853458	notebook_derived_assembled
	ERR6806512	notebook_derived_assembled
	SRR22691594	notebook_derived_assembled
	ERR7197757	notebook_derived_assembled
	SRR27481520	notebook_derived_assembled
	ERR10460687	notebook_derived_assembled
	ERR12495482	notebook_derived_assembled
	ERR10880156	notebook_derived_assembled
	ERR9822151	notebook_derived_assembled
	ERR6805990	notebook_derived_assembled
	SRR10326268	notebook_derived_assembled
	ERR4401298	notebook_derived_assembled
	ERR6806710	notebook_derived_assembled
	SRR8297279	notebook_derived_assembled
	SRR6457657	notebook_derived_assembled
	ERR6752971	notebook_derived_assembled
	ERR12552384	notebook_derived_assembled
	ERR10949310	notebook_derived_assembled
	ERR6806125	notebook_derived_assembled
	ERR3635266	notebook_derived_assembled
	ERR10109255	notebook_derived_assembled
	ERR12080226	notebook_derived_assembled
	SRR7850690	notebook_derived_assembled
	SRR5084265	notebook_derived_assembled
	ERR5750995	notebook_derived_assembled
	SRR21535466	notebook_derived_assembled
	ERR10088105	notebook_derived_assembled
	ERR9288082	notebook_derived_assembled
	ERR10176872	notebook_derived_assembled
	SRR22175068	notebook_derived_assembled
	SRR6107195	notebook_derived_assembled
	SRR27481649	notebook_derived_assembled
	ERR12321284	notebook_derived_assembled
	ERR4145388	notebook_derived_assembled
	SRR27481651	notebook_derived_assembled
	ERR6752889	notebook_derived_assembled
	SRR27481815	notebook_derived_assembled
	ERR10880181	notebook_derived_assembled
	SRR8350305	notebook_derived_assembled
	SRR14360286	notebook_derived_assembled
	ERR11810274	notebook_derived_assembled
	ERR5751296	notebook_derived_assembled
	SRR8137438	notebook_derived_assembled
	ERR6806789	notebook_derived_assembled
	SRR21787058	notebook_derived_assembled
	SRR2917140	notebook_derived_assembled
	ERR12142619	notebook_derived_assembled
	ERR10880335	notebook_derived_assembled
	ERR10880157	notebook_derived_assembled
	SRR7467291	notebook_derived_assembled
	SRR13719196	notebook_derived_assembled
	ERR3581536	notebook_derived_assembled
	ERR11807704	notebook_derived_assembled
	ERR10087013	notebook_derived_assembled
	ERR10460902	notebook_derived_assembled
	SRR13719614	notebook_derived_assembled
	ERR4399957	notebook_derived_assembled
	ERR6806600	notebook_derived_assembled
	ERR10460765	notebook_derived_assembled
	ERR4145410	notebook_derived_assembled
	SRR1973602	notebook_derived_assembled
	SRR26050334	notebook_derived_assembled
	ERR9820422	notebook_derived_assembled
	SRR13313295	notebook_derived_assembled
	SRR28295566	notebook_derived_assembled
	ERR12312692	notebook_derived_assembled
	SRR7292863	notebook_derived_assembled
	ERR4145345	notebook_derived_assembled
	ERR9822149	notebook_derived_assembled
	ERR10123168	notebook_derived_assembled
	ERR4401589	notebook_derived_assembled
	SRR1106363	notebook_derived_assembled
	SRR1643104	notebook_derived_assembled
	SRR1810522	notebook_derived_assembled
	SRR2173991	notebook_derived_assembled
	SRR26463587	notebook_derived_assembled
	SRR2961321	notebook_derived_assembled
	SRR3322715	notebook_derived_assembled
	SRR5799674	notebook_derived_assembled
	SRR6684992	notebook_derived_assembled
	SRR6685117	notebook_derived_assembled
	SRR7292689	notebook_derived_assembled
	SRR1264948	notebook_derived_assembled
	SRR9942635	notebook_derived_assembled
	SRR1264936	notebook_derived_assembled
	SRR22163673	notebook_derived_assembled
	ERR10442662	notebook_recorded_input_failure
